,library size
1205,8.0861025
1206,9.197356
1207,9.93086
1208,10.452071
1209,8.493515
1210,10.733959
1211,9.040027
1212,9.280799
1213,9.228573
1214,9.089753
1215,10.344063
1216,10.290212
1217,9.920443
1218,10.222232
1219,10.478611
1220,8.359838
1221,10.445143
1222,8.082402
1223,10.800473
1224,9.963077
1225,10.055779
1226,9.8258505
1227,9.457513
1228,10.2810335
1229,9.4913
1230,8.214736
1231,9.744199
1232,9.795958
1233,9.7564945
1234,9.58404
1235,10.336762
1236,9.831293
1237,8.362409
1238,10.048367
1239,10.658858
1240,9.681593
1241,10.547444
1242,9.682155
1243,10.298465
1244,10.617222
1245,8.560061
1246,10.121699
1247,8.329175
1248,9.713658
1249,10.04477
1250,9.731037
1251,10.21031
1252,9.303557
1253,10.802428
1254,9.862926
1255,9.7448435
1256,9.343034
1257,10.326629
1258,9.864227
1259,10.429753
1260,9.798127
1261,10.137413
1262,9.445017
1263,10.356567
1264,10.408979
1265,8.573195
1266,9.79696
1267,10.306617
1268,8.262043
1269,9.159574
1270,10.0653515
1271,9.893185
1272,9.385805
1273,10.214898
1274,10.636961
1275,10.271805
1276,8.730206
1277,7.939515
1278,9.409273
1279,11.141355
1280,10.384864
1281,8.509564
1282,10.005863
1283,8.687611
1284,10.030209
1285,9.576579
1286,9.931881
1287,9.05684
1288,9.3266115
1289,10.48114
1290,9.676273
1291,9.4201145
1292,10.1313
1293,10.03377
1294,9.588434
1295,10.170571
1296,10.192793
1297,9.9537525
1298,9.766579
1299,9.850772
1300,10.147179
1301,8.613049
1302,9.723702
1303,8.8192215
1304,8.896862
1305,9.2000885
1306,9.470779
1307,10.155724
1308,9.717218
1309,9.656883
1310,9.759097
1311,9.624964
1312,9.21184
1313,8.803575
1314,9.252633
1315,8.760139
1316,10.196343
1317,9.1488905
1318,10.134996
1319,9.493864
1320,9.929155
1321,9.409273
1322,9.966697
1323,9.847446
1324,9.965476
1325,9.473243
1326,9.480215
1327,9.781037
1328,9.623112
1329,9.99479
1330,9.865526
1331,9.499646
1332,9.417436
1333,9.075208
1334,9.530393
1335,9.8842535
1336,9.862614
1337,8.652947
1338,9.644198
1339,10.45051
1340,9.417436
1341,9.221972
1342,9.892022
1343,9.895909
1344,9.555418
1345,9.059169
1346,10.279833
1347,8.853237
1348,9.798127
1349,8.976389
1350,8.784621
1351,9.017119
1352,8.286774
1353,10.393018
1354,9.649112
1355,10.26235
1356,9.4187355
1357,7.736307
1358,9.245225
1359,10.164543
1360,9.530029
1361,9.234155
