,peak mean
1195,0.70728797
1196,0.28625667
1197,0.025563775
1198,0.0061951503
1199,0.0041343225
1200,0.12312015
1201,0.065153286
1202,0.005680371
1203,0.85576856
1204,0.54673374
1205,0.032104645
1206,0.006709666
1207,0.006709666
1208,0.022023978
1209,0.027580958
1210,0.0061951503
1211,0.026572816
1212,0.011840538
1213,0.078647465
1214,0.029091086
1215,0.025563775
1216,0.14351514
1217,0.018471487
1218,0.036608074
1219,0.011840538
1220,0.013885563
1221,0.16876563
1222,0.0051653264
1223,0.006709666
1224,0.006709666
1225,0.03059906
1226,0.009278392
1227,0.0072239153
1228,0.009278392
1229,0.022023978
1230,0.27648517
1231,0.047037683
1232,0.009791323
1233,0.053440146
1234,0.030096693
1235,0.08959734
1236,0.011840538
1237,0.01796299
1238,0.0051653264
1239,0.023542518
1240,0.03910123
1241,0.07432994
1242,0.13404919
1243,0.13404919
1244,0.29477724
1245,0.010304109
1246,0.5866926
1247,0.01490645
1248,0.07240498
1249,0.2642348
1250,0.024553716
1251,0.05442146
1252,0.2697859
1253,0.011328658
1254,0.11438239
1255,0.10183283
1256,0.14665061
1257,0.3100856
1258,0.07768964
1259,0.045059524
1260,0.027580958
1261,0.01796299
1262,0.03610872
1263,0.0072239153
1264,0.053440146
1265,0.08485122
1266,0.011840538
1267,0.37798893
1268,0.90953326
1269,0.051966257
1270,0.087227196
1271,0.2310872
1272,0.011840538
1273,0.03059906
1274,0.004650017
1275,0.026068423
1276,0.13359621
1277,0.035608996
1278,0.04059408
1279,0.009278392
1280,0.051474508
1281,0.032606
1282,0.8907994
1283,0.3422257
1284,0.021517284
1285,0.07240498
1286,0.3028433
1287,0.35610452
1288,0.06612317
1289,0.005680371
1290,0.75465393
1291,0.08246979
1292,0.032606
1293,0.0072239153
1294,0.078647465
1295,0.008765199
1296,0.63147
1297,0.036608074
1298,0.15776922
1299,0.055401817
1300,0.021010218
1301,0.045554433
1302,0.03610872
1303,0.09902252
1304,0.023542518
1305,0.04307733
1306,0.03610872
1307,0.04307733
1308,0.12540683
1309,0.12036902
1310,0.0061951503
1311,0.013374727
1312,0.045059524
1313,0.0041343225
1314,0.04802541
1315,0.03460904
1316,0.005680371
1317,0.24658501
1318,0.042084817
1319,0.2951628
1320,0.050982524
1321,0.060289435
1322,0.22903001
1323,0.07192319
1324,0.32179016
1325,0.19125803
1326,0.026572816
1327,0.30246067
1328,0.027580958
1329,0.11899073
1330,0.1674525
1331,0.027076954
1332,0.2590524
1333,0.09902252
1334,0.0036184806
1335,0.11530571
1336,0.12403546
1337,0.012352158
1338,0.01796299
1339,0.026572816
1340,0.24049605
1341,0.011328658
1342,0.13540702
1343,0.016945222
1344,0.0108165145
1345,0.005680371
1346,0.0051653264
1347,0.01490645
1348,0.011840538
1349,0.13450198
1350,0.023036595
1351,0.0077380193
1352,0.15289234
1353,0.03160303
1354,0.014396137
1355,0.013374727
1356,0.010304109
1357,0.038104642
1358,0.009791323
1359,0.06369657
1360,0.103702016
1361,0.021010218
1362,0.0061951503
1363,0.015926413
1364,0.018979844
1365,0.01490645
1366,0.005680371
1367,0.07432983
1368,0.011840538
1369,0.022530414
1370,0.13540702
1371,0.081992716
1372,0.011840538
1373,0.04406886
1374,0.013885563
1375,0.004650017
1376,0.07192319
1377,0.05491176
1378,0.0061951503
1379,0.008765199
1380,0.04456437
1381,0.17920966
1382,0.17660889
1383,0.13268964
1384,0.07481057
1385,0.016435947
1386,0.0051653264
1387,0.03160303
1388,0.008251741
1389,0.04357322
1390,0.0031023729
1391,0.005680371
1392,0.012863516
1393,0.18697165
1394,0.0704763
1395,0.09196208
1396,0.016435947
1397,0.022530414
1398,0.06709224
1399,0.035608996
1400,0.011840538
1401,0.01796299
1402,0.012352158
1403,0.009791323
1404,0.015416503
1405,0.024553716
1406,0.07095879
1407,0.0077380193
1408,0.022023978
1409,0.016435947
1410,0.23968135
1411,0.011328658
1412,0.011840538
1413,0.059313864
1414,0.051966257
1415,0.18954566
1416,0.047531728
1417,0.0077380193
1418,0.64514625
1419,0.005680371
1420,0.015926413
1421,0.016945222
1422,0.012352158
1423,0.033107225
1424,0.011840538
1425,0.0051653264
1426,0.035608996
1427,0.005680371
1428,0.017454235
1429,0.005680371
1430,0.011328658
1431,0.0061951503
1432,0.009278392
1433,0.022530414
1434,0.008251741
1435,0.0036184806
1436,0.0077380193
1437,0.018471487
1438,0.01490645
1439,0.0061951503
1440,0.01490645
1441,0.004650017
1442,0.0051653264
1443,0.0108165145
1444,0.019995546
1445,0.022023978
1446,0.011840538
1447,0.026572816
1448,0.0051653264
1449,0.009278392
1450,0.006709666
1451,0.03360808
1452,0.0072239153
1453,0.13811705
1454,0.005680371
1455,0.012863516
1456,0.04357322
1457,0.008251741
1458,0.064182445
1459,0.011840538
1460,0.0108165145
1461,0.09196197
1462,0.16789049
1463,0.115767166
1464,0.016435947
1465,0.028084585
1466,0.024048187
1467,0.05833734
1468,0.012863516
1469,0.013374727
1470,0.03059906
1471,0.12768848
1472,0.011328658
1473,0.018979844
1474,0.020503009
1475,0.023542518
1476,0.009791323
1477,0.049012054
1478,0.013374727
1479,0.0072239153
1480,0.061264157
1481,0.17790999
1482,0.025058875
1483,0.029091086
1484,0.012863516
1485,0.018471487
1486,0.016435947
1487,0.018979844
1488,0.014396137
1489,0.021010218
1490,0.042581197
1491,0.0051653264
1492,0.09196197
1493,0.019995546
1494,0.06612317
1495,0.07625109
1496,0.055401817
1497,0.01490645
1498,0.078647465
1499,0.08008257
1500,0.013885563
1501,0.019487824
1502,0.11160719
1503,0.04456437
1504,0.052949127
1505,0.38928038
1506,0.033107225
1507,0.085326925
1508,0.11668921
1509,0.025058875
1510,0.07432994
1511,0.11714991
1512,0.0072239153
1513,0.018471487
1514,0.020503009
1515,0.0395991
1516,0.064182445
1517,0.062237833
1518,0.0767308
1519,0.16920298
1520,0.020503009
1521,0.025058875
1522,0.21116121
1523,0.008251741
1524,0.090543926
1525,0.023036595
1526,0.013374727
1527,0.0041343225
1528,0.041588183
1529,0.09949143
1530,0.10603356
1531,0.018471487
1532,0.045059524
1533,0.0108165145
1534,0.18266693
1535,0.049505007
1536,0.09007069
1537,0.023036595
1538,0.009278392
1539,0.019995546
1540,0.069027334
1541,0.09808403
1542,0.0072239153
1543,0.6128454
1544,0.20990254
1545,0.0772104
1546,0.20316291
1547,0.32329065
1548,0.06175112
1549,0.0072239153
1550,0.061264157
1551,0.03910123
1552,0.041091196
1553,0.022023978
1554,0.01796299
1555,0.0051653264
1556,0.04456437
1557,0.0685439
1558,0.037606034
1559,1.3121437
1560,0.69908524
1561,0.038104642
1562,0.0077380193
1563,0.005680371
1564,0.008765199
1565,0.14665061
1566,0.08342305
1567,0.35356233
1568,0.58120537
1569,0.013374727
1570,0.01796299
1571,0.019487824
1572,0.0041343225
1573,0.0025859985
1574,0.016945222
1575,0.024048187
1576,0.014396137
1577,0.016945222
1578,0.28936344
1579,0.26144764
1580,0.0041343225
1581,0.034108683
1582,0.009791323
1583,0.05980177
1584,0.006709666
1585,0.041091196
1586,0.023036595
1587,0.051474508
1588,0.009791323
1589,0.0072239153
1590,0.0108165145
1591,0.065153286
1592,0.09667454
1593,0.12174552
1594,0.028084585
1595,0.012352158
1596,0.030096693
1597,0.064667985
1598,0.016945222
1599,0.10975272
1600,0.059313864
1601,0.49537772
1602,0.33558345
1603,0.38329744
1604,0.041588183
1605,0.60212594
1606,0.1064992
1607,0.12586363
1608,0.006709666
1609,0.005680371
1610,0.01796299
1611,0.04802541
1612,0.24049605
1613,0.021517284
1614,0.0108165145
1615,0.012352158
1616,0.015416503
1617,0.0072239153
1618,0.01490645
1619,0.0041343225
1620,0.009791323
1621,0.17443639
1622,0.22283289
1623,0.026068423
1624,0.015926413
1625,0.22490285
1626,0.32815152
1627,0.032104645
1628,0.03160303
1629,0.0061951503
1630,0.04059408
1631,0.2697859
1632,0.041588183
1633,0.045554433
1634,0.008765199
1635,0.14709784
1636,0.22861807
1637,0.009278392
1638,0.0041343225
1639,0.22075872
