,nozero
961,9.313709
962,8.591187
963,8.549661
964,8.922925
965,8.740497
966,7.791936
967,8.298539
968,7.7437034
969,8.6976795
970,9.335298
971,8.602269
972,8.776476
973,8.413609
974,9.004545
975,7.497207
976,8.371473
977,8.373785
978,9.439784
979,8.987572
980,7.5032897
981,8.760453
982,8.40492
983,8.068403
984,8.782016
985,8.811652
986,8.646817
987,9.530538
988,8.768107
989,7.386471
990,8.909235
991,7.5595593
992,7.6925697
993,9.066586
994,8.108322
995,7.1244783
996,9.031333
997,9.428109
998,7.396949
999,8.054205
1000,9.143773
1001,8.138857
1002,7.9434276
1003,7.6912003
1004,7.376508
1005,7.3575563
1006,9.611529
1007,8.643826
1008,9.002086
1009,8.087026
1010,8.345455
1011,8.883363
1012,8.49126
1013,9.1075325
1014,8.831566
1015,8.78263
1016,9.222566
1017,9.170768
1018,9.290444
1019,8.397058
1020,8.1665
1021,9.090881
1022,8.434029
1023,8.501877
1024,8.230577
1025,7.123673
1026,8.846497
1027,8.432941
1028,8.467583
1029,9.4536
1030,8.307953
1031,8.562549
1032,9.690232
1033,9.364434
1034,8.48198
1035,8.6307
1036,7.865572
1037,7.343426
1038,8.885164
1039,9.392995
1040,9.303375
1041,8.256088
1042,8.95944
1043,7.965893
1044,9.217912
1045,8.990815
1046,8.478037
1047,8.377932
1048,8.331346
1049,8.149313
1050,8.240385
1051,8.131531
1052,8.677269
1053,8.447844
1054,9.023167
1055,9.059518
1056,8.0077
1057,8.916506
1058,9.360999
1059,7.8902082
1060,8.229244
1061,8.17892
1062,9.073375
1063,9.16712
1064,8.467583
1065,8.9976425
1066,8.570544
1067,8.238537
1068,9.523836
1069,8.1179085
1070,8.830981
1071,8.073403
1072,9.228376
1073,9.098739
1074,9.514585
1075,8.637462
1076,8.9999895
1077,8.347827
1078,8.907207
1079,8.106213
1080,8.093157
1081,8.169903
1082,7.0361485
1083,8.809266
1084,8.663024
1085,8.269501
1086,9.197457
1087,9.389741
1088,8.249837
1089,8.095903
1090,9.814711
1091,8.273847
1092,9.252346
1093,7.32449
1094,8.13564
1095,9.677214
1096,9.429556
1097,9.324561
1098,8.63888
1099,8.580731
1100,8.614139
1101,8.865453
1102,8.142063
1103,8.628555
1104,8.934587
1105,8.397734
1106,9.541298
1107,8.861067
1108,9.529884
1109,8.990441
1110,8.218248
1111,9.531191
1112,8.778018
1113,8.668883
1114,8.449343
1115,9.229457
1116,9.262459
1117,9.083756
1118,9.491753
1119,9.731096
1120,8.850088
1121,8.631771
1122,8.73456
1123,9.128154
1124,8.589328
1125,9.043341
1126,9.290537
1127,9.14174
1128,9.047939
1129,8.818187
1130,9.31434
1131,9.076809
1132,9.253113
1133,8.567506
1134,9.549096
1135,8.907071
1136,9.219102
1137,8.985821
1138,8.689632
1139,8.601351
1140,8.305731
1141,8.683555
1142,9.395492
1143,9.494692
1144,9.367259
1145,9.070619
1146,9.204825
1147,9.129564
1148,8.667852
1149,9.401374
1150,9.2172165
1151,9.2031145
1152,8.536996
1153,8.856661
1154,8.64453
1155,7.179308
1156,7.9412956
1157,7.194437
1158,7.3926477
1159,7.5196924
1160,8.593413
1161,9.0082245
1162,7.6381984
1163,8.191463
1164,7.5400906
1165,8.790877
1166,7.9138865
1167,7.770223
1168,7.270313
1169,7.7106533
1170,8.512583
1171,8.392536
1172,9.175024
1173,7.103322
1174,7.521318
1175,8.508556
1176,8.682538
1177,7.4036703
1178,7.7579064
1179,8.72258
1180,7.4460015
1181,8.427925
1182,7.643483
1183,7.522941
1184,8.84621
1185,8.269757
1186,8.522181
1187,8.116715
1188,7.057898
1189,7.5358305
1190,8.8832245
1191,7.4882936
1192,8.414718
1193,7.3466554
1194,8.665096
1195,8.504311
1196,7.894318
1197,7.759187
1198,7.7052627
1199,6.9966817
1200,8.936562
1201,8.700848
1202,8.365439
1203,7.1966867
1204,8.002359
1205,7.5016346
1206,8.321422
1207,8.917579
1208,9.472089
1209,7.8563194
1210,9.623575
1211,8.247744
1212,8.407378
1213,8.327968
1214,8.275631
1215,9.39765
1216,9.275191
1217,9.070273
1218,9.308374
1219,9.355739
1220,7.6468315
1221,9.503458
1222,7.3975616
1223,9.676901
1224,9.001593
1225,9.150378
1226,8.860357
1227,8.588024
1228,9.30465
1229,8.627123
1230,7.4650826
1231,8.8705225
1232,8.819665
1233,8.77137
1234,8.704834
1235,9.330875
1236,8.869679
1237,7.63868
1238,9.150697
1239,9.4651375
1240,8.762333
1241,9.381685
1242,8.868695
1243,9.400878
1244,9.509927
1245,7.8316174
1246,9.156623
1247,7.639161
1248,8.789051
1249,9.130864
1250,8.797246
1251,9.302737
1252,8.517193
1253,9.57928
1254,9.005036
1255,8.783549
1256,8.465899
1257,9.304741
1258,8.847648
1259,9.447782
1260,8.862625
1261,9.16052
1262,8.601167
1263,9.208439
1264,9.462965
1265,7.7761154
1266,8.871926
1267,9.329634
1268,7.541683
